environment,robot_number,iteration,value1,value2
bidirectional,0,0,11.532117148810471,-11.532117148810471
bidirectional,0,1,9.899313437872777,-9.899313437872777
bidirectional,0,2,-0.01866729357683994,0.01866729357683994
bidirectional,0,3,11.108722795482748,-11.108722795482748
bidirectional,0,4,-1.159175240978911,1.159175240978911
bidirectional,0,5,7.641204956283843,-7.641204956283843
bidirectional,0,6,6.941812236578286,-6.941812236578286
bidirectional,0,7,-0.07884880584610698,0.07884880584610698
bidirectional,0,8,13.784115460256615,-13.784115460256615
bidirectional,0,9,20.09952281850765,-20.09952281850765
bidirectional,0,10,13.008937105937505,-13.008937105937505
bidirectional,0,11,1.6178382553309802,-1.6178382553309802
bidirectional,0,12,-2.8586219208200134,2.8586219208200134
bidirectional,0,13,5.094152793789718,-5.094152793789718
bidirectional,0,14,-2.0170017749824325,2.0170017749824325
bidirectional,0,15,-0.5545719095969588,0.5545719095969588
bidirectional,0,16,2.8269343592327942,-2.8269343592327942
bidirectional,0,17,0.40602289006028514,-0.40602289006028514
bidirectional,0,18,0.29560061995233866,-0.29560061995233866
bidirectional,0,19,12.726095353675163,-12.726095353675163
bidirectional,0,20,17.348072864627454,-17.348072864627454
bidirectional,0,21,9.723831638092207,-9.723831638092207
bidirectional,0,22,-6.938848580917892,6.938848580917892
bidirectional,0,23,-1.0175340507183677,1.0175340507183677
bidirectional,0,24,14.26425113757169,-14.26425113757169
bidirectional,0,25,-11.034670199475983,11.034670199475983
bidirectional,0,26,-10.209039841111704,10.209039841111704
bidirectional,0,27,-0.8321620160329104,0.8321620160329104
bidirectional,0,28,-0.12484778107642569,0.12484778107642569
bidirectional,0,29,-0.5651409962074041,0.5651409962074041
bidirectional,0,30,4.038411617921653,-4.038411617921653
bidirectional,0,31,-1.8115779464927613,1.8115779464927613
bidirectional,0,32,-0.09421742142021117,0.09421742142021117
bidirectional,0,33,-9.644256425634737,9.644256425634737
bidirectional,0,34,-3.1116365629956135,3.1116365629956135
bidirectional,0,35,3.1578572204433613,-3.1578572204433613
bidirectional,0,36,7.634034428918355,-7.634034428918355
bidirectional,0,37,-5.8158779595175645,5.8158779595175645
bidirectional,0,38,-8.439905923973242,8.439905923973242
bidirectional,0,39,-0.7209410933194391,0.7209410933194391
bidirectional,0,40,-1.0788033333799802,1.0788033333799802
bidirectional,0,41,2.0272732522453936,-2.0272732522453936
bidirectional,0,42,0.3206616276614085,-0.3206616276614085
bidirectional,0,43,17.555848513482843,-17.555848513482843
bidirectional,0,44,-3.101967199681539,3.101967199681539
bidirectional,0,45,16.22035556422813,-16.22035556422813
bidirectional,0,46,2.2466066764856407,-2.2466066764856407
bidirectional,0,47,-0.388717851216839,0.388717851216839
bidirectional,0,48,2.67794955326157,-2.67794955326157
bidirectional,0,49,17.211274862937984,-17.211274862937984
bidirectional,0,50,-0.8290038436585689,0.8290038436585689
bidirectional,0,51,-4.375744525837419,4.375744525837419
bidirectional,0,52,-2.6782337283986237,2.6782337283986237
bidirectional,0,53,6.920844475190009,-6.920844475190009
bidirectional,0,54,-8.205422205512392,8.205422205512392
